ASSET,ID,WEIGHT,ACTION,CONFIDENCE
TICK,ASSET_000,0.8409,BUY,0.86
TICK,ASSET_001,0.0150,HOLD,0.92
TICK,ASSET_002,0.0082,IGNORE,0.93
TICK,ASSET_003,0.1821,BUY,0.86
TICK,ASSET_004,0.7522,BUY,0.87
TICK,ASSET_005,0.0002,IGNORE,0.92
TICK,ASSET_006,0.5591,BUY,0.98
TICK,ASSET_007,0.1489,BUY,0.85
TICK,ASSET_008,0.0293,HOLD,0.95
TICK,ASSET_009,0.4137,BUY,0.82
TICK,ASSET_010,0.0148,HOLD,0.81
TICK,ASSET_011,0.6089,BUY,0.93
TICK,ASSET_012,0.0048,IGNORE,0.92
TICK,ASSET_013,0.6216,BUY,0.87
TICK,ASSET_014,0.0752,HOLD,0.98
TICK,ASSET_015,0.7536,BUY,0.92
TICK,ASSET_016,0.1682,BUY,0.87
TICK,ASSET_017,0.6426,BUY,0.88
TICK,ASSET_018,0.3971,BUY,0.83
TICK,ASSET_019,0.2776,BUY,0.91
TICK,ASSET_020,0.1613,BUY,0.96
TICK,ASSET_021,0.0769,HOLD,0.81
TICK,ASSET_022,0.2451,BUY,0.82
TICK,ASSET_023,0.0132,HOLD,0.84
TICK,ASSET_024,0.2102,BUY,0.98
TICK,ASSET_025,0.5556,BUY,0.88
TICK,ASSET_026,0.0591,HOLD,0.88
TICK,ASSET_027,0.2227,BUY,0.86
TICK,ASSET_028,0.1271,BUY,0.87
TICK,ASSET_029,0.1506,BUY,0.87
TICK,ASSET_030,0.2630,BUY,0.84
TICK,ASSET_031,0.1593,BUY,0.92
TICK,ASSET_032,0.0222,HOLD,0.87
TICK,ASSET_033,0.6563,BUY,0.82
TICK,ASSET_034,0.3185,BUY,0.86
TICK,ASSET_035,0.0265,HOLD,0.99
TICK,ASSET_036,0.5619,BUY,0.81
TICK,ASSET_037,0.1792,BUY,0.83
TICK,ASSET_038,0.0103,HOLD,0.86
TICK,ASSET_039,0.1088,BUY,0.82
TICK,ASSET_040,0.0609,HOLD,0.94
TICK,ASSET_041,0.3181,BUY,0.86
TICK,ASSET_042,0.0186,HOLD,0.95
TICK,ASSET_043,0.9797,BUY,0.89
TICK,ASSET_044,0.1998,BUY,0.92
TICK,ASSET_045,0.5086,BUY,0.98
TICK,ASSET_046,0.2622,BUY,0.92
TICK,ASSET_047,0.4119,BUY,0.90
TICK,ASSET_048,0.0668,HOLD,0.96
TICK,ASSET_049,0.3802,BUY,0.89
TICK,ASSET_050,0.1357,BUY,0.93
TICK,ASSET_051,0.1063,BUY,0.94
TICK,ASSET_052,0.9348,BUY,0.88
TICK,ASSET_053,0.0294,HOLD,0.83
TICK,ASSET_054,0.2095,BUY,0.99
TICK,ASSET_055,0.0245,HOLD,0.82
TICK,ASSET_056,0.0131,HOLD,0.96
TICK,ASSET_057,0.5227,BUY,0.92
TICK,ASSET_058,0.2138,BUY,0.80
TICK,ASSET_059,0.9941,BUY,0.82
TICK,ASSET_060,0.5646,BUY,0.80
TICK,ASSET_061,0.0671,HOLD,0.93
TICK,ASSET_062,0.0023,IGNORE,0.93
TICK,ASSET_063,0.1272,BUY,0.97
TICK,ASSET_064,0.4209,BUY,0.91
TICK,ASSET_065,0.3925,BUY,0.97
TICK,ASSET_066,0.0085,IGNORE,0.96
TICK,ASSET_067,0.6970,BUY,0.99
TICK,ASSET_068,0.6499,BUY,0.84
TICK,ASSET_069,0.7424,BUY,0.98
TICK,ASSET_070,0.0164,HOLD,0.93
TICK,ASSET_071,0.0490,HOLD,0.94
TICK,ASSET_072,0.1058,BUY,0.93
TICK,ASSET_073,0.9033,BUY,0.91
TICK,ASSET_074,0.4804,BUY,0.94
TICK,ASSET_075,0.2130,BUY,0.90
TICK,ASSET_076,0.0505,HOLD,0.83
TICK,ASSET_077,0.2560,BUY,0.97
TICK,ASSET_078,0.6594,BUY,0.82
TICK,ASSET_079,0.0001,IGNORE,0.84
TICK,ASSET_080,0.2386,BUY,0.82
TICK,ASSET_081,0.0192,HOLD,0.82
TICK,ASSET_082,0.0867,HOLD,0.85
TICK,ASSET_083,0.4408,BUY,0.95
TICK,ASSET_084,0.0021,IGNORE,0.92
TICK,ASSET_085,0.2576,BUY,0.91
TICK,ASSET_086,0.4399,BUY,0.91
TICK,ASSET_087,0.8377,BUY,0.85
TICK,ASSET_088,0.0439,HOLD,0.81
TICK,ASSET_089,0.2619,BUY,0.80
TICK,ASSET_090,0.2118,BUY,0.83
TICK,ASSET_091,0.4014,BUY,0.98
TICK,ASSET_092,0.1223,BUY,0.82
TICK,ASSET_093,0.8470,BUY,0.91
TICK,ASSET_094,0.2439,BUY,0.84
TICK,ASSET_095,0.3325,BUY,0.90
TICK,ASSET_096,0.1227,BUY,0.96
TICK,ASSET_097,0.6298,BUY,0.90
TICK,ASSET_098,0.7845,BUY,0.86
TICK,ASSET_099,0.4294,BUY,0.91
TICK,ASSET_100,0.0672,HOLD,0.91
TICK,ASSET_101,0.9871,BUY,0.92
TICK,ASSET_102,0.9029,BUY,0.85
TICK,ASSET_103,0.0286,HOLD,0.82
TICK,ASSET_104,0.2759,BUY,0.93
TICK,ASSET_105,0.8866,BUY,0.97
TICK,ASSET_106,0.0135,HOLD,0.98
TICK,ASSET_107,0.6680,BUY,0.86
TICK,ASSET_108,0.7970,BUY,0.80
TICK,ASSET_109,0.2156,BUY,0.87
TICK,ASSET_110,0.0269,HOLD,0.86
TICK,ASSET_111,0.1705,BUY,0.87
TICK,ASSET_112,0.1265,BUY,0.81
TICK,ASSET_113,0.1181,BUY,0.94
TICK,ASSET_114,0.7523,BUY,0.81
TICK,ASSET_115,0.0061,IGNORE,0.92
TICK,ASSET_116,0.0872,HOLD,0.87
TICK,ASSET_117,0.8143,BUY,0.91
TICK,ASSET_118,0.5307,BUY,0.87
TICK,ASSET_119,0.0264,HOLD,0.99
TICK,ASSET_120,0.0092,IGNORE,0.95
TICK,ASSET_121,0.1379,BUY,0.89
TICK,ASSET_122,0.0328,HOLD,0.84
TICK,ASSET_123,0.4858,BUY,0.82
TICK,ASSET_124,0.0076,IGNORE,0.81
TICK,ASSET_125,0.9062,BUY,0.99
TICK,ASSET_126,0.3339,BUY,0.80
TICK,ASSET_127,0.8634,BUY,0.87
TICK,ASSET_128,0.2945,BUY,0.84
TICK,ASSET_129,0.2258,BUY,0.84
TICK,ASSET_130,0.0245,HOLD,0.88
TICK,ASSET_131,0.0259,HOLD,0.91
